"";BBDL1.M.DE.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A;BBDL1.M.DE.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A_FLAGS
"";Gemeldete Arbeitsstellen insgesamt / Deutschland / Insgesamt / absolute Angabe / kalender- und saisonbereinigt;
Dezimalstellen;0;
Dimension;Tausend;
Einheit;Anzahl;
Format der Zeitangabe;P1M;
Kategorie;KPBA;
Quelle;Saisonbereinigung basierend auf Ursprungswerten der Bundesagentur für Arbeit.;
Umrechnungsart;Endstand (letzter Wert);
Stand vom;31.03.2026 10:05:37 Uhr;
2000-01;426;
2000-02;432;
2000-03;433;
2000-04;442;
2000-05;454;
2000-06;455;
2000-07;459;
2000-08;457;
2000-09;459;
2000-10;463;
2000-11;471;
2000-12;476;
2001-01;468;
2001-02;460;
2001-03;454;
2001-04;444;
2001-05;436;
2001-06;433;
2001-07;426;
2001-08;422;
2001-09;418;
2001-10;410;
2001-11;399;
2001-12;393;
2002-01;395;
2002-02;400;
2002-03;401;
2002-04;396;
2002-05;392;
2002-06;386;
2002-07;370;
2002-08;364;
2002-09;351;
2002-10;343;
2002-11;333;
2002-12;324;
2003-01;315;
2003-02;303;
2003-03;293;
2003-04;286;
2003-05;270;
2003-06;262;
2003-07;258;
2003-08;259;
2003-09;244;
2003-10;238;
2003-11;234;
2003-12;227;
2004-01;220;
2004-02;214;
2004-03;205;
2004-04;201;
2004-05;205;
2004-06;209;
2004-07;204;
2004-08;205;
2004-09;201;
2004-10;202;
2004-11;201;
2004-12;204;
2005-01;214;
2005-02;219;
2005-03;228;
2005-04;236;
2005-05;246;
2005-06;253;
2005-07;261;
2005-08;269;
2005-09;277;
2005-10;285;
2005-11;285;
2005-12;288;
2006-01;293;
2006-02;301;
2006-03;309;
2006-04;322;
2006-05;339;
2006-06;349;
2006-07;362;
2006-08;373;
2006-09;381;
2006-10;392;
2006-11;402;
2006-12;417;
2007-01;424;
2007-02;432;
2007-03;434;
2007-04;436;
2007-05;433;
2007-06;431;
2007-07;424;
2007-08;421;
2007-09;414;
2007-10;412;
2007-11;408;
2007-12;405;
2008-01;400;
2008-02;396;
2008-03;396;
2008-04;393;
2008-05;390;
2008-06;399;
2008-07;396;
2008-08;392;
2008-09;389;
2008-10;383;
2008-11;374;
2008-12;356;
2009-01;342;
2009-02;333;
2009-03;319;
2009-04;304;
2009-05;294;
2009-06;285;
2009-07;281;
2009-08;284;
2009-09;288;
2009-10;290;
2009-11;294;
2009-12;303;
2010-01;306;
2010-02;312;
2010-03;322;
2010-04;333;
2010-05;348;
2010-06;357;
2010-07;371;
2010-08;377;
2010-09;382;
2010-10;392;
2010-11;399;
2010-12;409;
2011-01;420;
2011-02;435;
2011-03;444;
2011-04;455;
2011-05;460;
2011-06;465;
2011-07;470;
2011-08;476;
2011-09;483;
2011-10;490;
2011-11;497;
2011-12;499;
2012-01;501;
2012-02;491;
2012-03;491;
2012-04;491;
2012-05;490;
2012-06;486;
2012-07;480;
2012-08;474;
2012-09;468;
2012-10;460;
2012-11;454;
2012-12;447;
2013-01;462;
2013-02;462;
2013-03;460;
2013-04;453;
2013-05;451;
2013-06;449;
2013-07;453;
2013-08;454;
2013-09;458;
2013-10;458;
2013-11;460;
2013-12;464;
2014-01;464;
2014-02;469;
2014-03;473;
2014-04;479;
2014-05;478;
2014-06;486;
2014-07;488;
2014-08;498;
2014-09;504;
2014-10;507;
2014-11;514;
2014-12;521;
2015-01;525;
2015-02;533;
2015-03;542;
2015-04;548;
2015-05;554;
2015-06;563;
2015-07;573;
2015-08;577;
2015-09;582;
2015-10;599;
2015-11;609;
2015-12;615;
2016-01;625;
2016-02;631;
2016-03;636;
2016-04;639;
2016-05;653;
2016-06;655;
2016-07;657;
2016-08;664;
2016-09;667;
2016-10;675;
2016-11;678;
2016-12;682;
2017-01;692;
2017-02;693;
2017-03;697;
2017-04;708;
2017-05;714;
2017-06;721;
2017-07;732;
2017-08;741;
2017-09;749;
2017-10;760;
2017-11;768;
2017-12;786;
2018-01;784;
2018-02;785;
2018-03;786;
2018-04;789;
2018-05;794;
2018-06;796;
2018-07;802;
2018-08;801;
2018-09;806;
2018-10;802;
2018-11;802;
2018-12;806;
2019-01;805;
2019-02;805;
2019-03;808;
2019-04;802;
2019-05;794;
2019-06;789;
2019-07;779;
2019-08;769;
2019-09;759;
2019-10;744;
2019-11;732;
2019-12;708;
2020-01;708;
2020-02;708;
2020-03;701;
2020-04;633;
2020-05;586;
2020-06;564;
2020-07;558;
2020-08;564;
2020-09;569;
2020-10;587;
2020-11;597;
2020-12;600;
2021-01;599;
2021-02;598;
2021-03;618;
2021-04;635;
2021-05;656;
2021-06;686;
2021-07;726;
2021-08;753;
2021-09;772;
2021-10;790;
2021-11;805;
2021-12;818;
2022-01;833;
2022-02;842;
2022-03;850;
2022-04;859;
2022-05;868;
2022-06;868;
2022-07;860;
2022-08;859;
2022-09;846;
2022-10;829;
2022-11;821;
2022-12;802;
2023-01;801;
2023-02;796;
2023-03;787;
2023-04;778;
2023-05;768;
2023-06;762;
2023-07;756;
2023-08;749;
2023-09;740;
2023-10;736;
2023-11;732;
2023-12;729;
2024-01;729;
2024-02;721;
2024-03;714;
2024-04;704;
2024-05;703;
2024-06;695;
2024-07;690;
2024-08;681;
2024-09;679;
2024-10;679;
2024-11;667;
2024-12;666;
2025-01;658;
2025-02;651;
2025-03;648;
2025-04;648;
2025-05;635;
2025-06;627;
2025-07;618;
2025-08;617;
2025-09;616;
2025-10;615;
2025-11;623;
2025-12;628;
2026-01;621;
2026-02;649;
2026-03;643;
